Source Name,Related Story,Article Date & Year,URL
Fox News,Russia Invades Ukraine,2/28/2014,https://www.foxnews.com/world/ukraine-official-russia-has-launched-armed-invasion-in-crimea
CNN,Gay Marriage ,6/27/2015,https://www.cnn.com/2015/06/26/politics/supreme-court-same-sex-marriage-ruling/index.html
NBC,Gay Marriage ,6/26/2015,https://www.nbcnews.com/news/us-news/same-sex-marraige-legal-nationwide-supreme-court-rules-n375551
The Wall Street Journal,Gay Marriage ,6/26/2015,https://www.wsj.com/articles/supreme-court-rules-in-favor-of-same-sex-marriage-1435180972
New York Post,Gay Marriage ,6/26/2015,https://nypost.com/2015/06/26/supreme-court-approves-gay-marriage-nationwide/
Fox News,Gay Marriage ,6/26/2015,https://www.foxnews.com/opinion/gay-marriage-why-supreme-court-got-it-wrong
CNN,Trump Elected,12/22/2016,https://www.cnn.com/2016/12/21/politics/donald-trump-hillary-clinton-popular-vote-final-count/index.html
NBC,Trump Elected,11/6/2016,https://www.cnbc.com/2016/11/08/live-2016-election-day-results-donald-trump-and-hillary-clinton-race-to-the-white-house.html
The Wall Street Journal,Trump Elected,11/9/2016,https://www.wsj.com/articles/donald-trump-rides-populist-wave-1478678410
New York Post,Trump Elected,11/9/2016,https://nypost.com/2016/11/09/this-is-how-donald-trump-won-the-election/
Fox News,Trump Elected,11/9/2016,https://www.foxnews.com/politics/trump-wins-presidency-defeats-clinton-in-historic-election-upset
CNN,Trump Inauguration,1/21/2017,https://www.cnn.com/2017/01/20/politics/donald-trump-inauguration-highlights/index.html
NBC,Trump Inauguration,1/20/2017,https://www.nbcnews.com/storyline/inauguration-2017/trump-inauguration-what-world-s-saying-about-next-president-n709456
The Wall Street Journal,Trump Inauguration,1/21/2017,https://www.wsj.com/articles/donald-trumps-inauguration-brings-in-over-30-million-viewers-1485039516
New York Post,Trump Inauguration,1/22/2017,https://nypost.com/2017/01/22/trump-administration-disputes-crowd-numbers-at-inauguration/
Fox News,Trump Inauguration,1/22/2017,https://www.foxnews.com/us/fact-check-trump-overstates-crowd-size-at-inaugural
CNN,Brett Kavanaugh picked for SCJ,7/9/2018,https://www.cnn.com/2018/07/09/politics/trump-supreme-court-pick/index.html
NBC,Brett Kavanaugh picked for SCJ,7/9/2018,https://www.nbcnews.com/politics/supreme-court/who-supreme-court-nominee-brett-kavanaugh-n890071
The Wall Street Journal,Brett Kavanaugh picked for SCJ,7/9/2018,https://www.wsj.com/articles/judge-brett-kavanaugh-in-his-own-words-1531187704
New York Post,Brett Kavanaugh picked for SCJ,7/9/2018,https://nypost.com/2018/07/09/brett-kavanaugh-is-an-excellent-pick-for-the-supreme-court/
Fox News,Brett Kavanaugh picked for SCJ,7/9/2018,https://www.foxnews.com/politics/trump-nominates-brett-kavanaugh-to-supreme-court
CNN,Area 51 Raid,9/20/2019,https://www.cnn.com/travel/article/area-51-raid-weekend-event-trnd/index.html
NBC,Area 51 Raid,7/29/2019,https://www.nbcnews.com/think/opinion/storming-area-51-september-20-here-s-why-you-re-ncna1034781
The Wall Street Journal,Area 51 Raid,9/6/2019,https://www.wsj.com/articles/whats-really-going-on-at-area-51-maybe-the-biggest-ufo-party-on-earth-11567783089
New York Post,Area 51 Raid,9/22/2019,https://nypost.com/2019/09/22/military-apologizes-for-threatening-to-launch-stealth-bomber-at-storm-area-51-event/
Fox News,Area 51 Raid,9/20/2019,https://www.foxnews.com/science/storm-area-51-raid-alien-community-believers-las-vegas
CNN,George Floyd Death,5/28/2020,https://www.cnn.com/2020/05/27/us/minneapolis-protests-george-floyd/index.html
NBC,George Floyd Death,5/26/2020,https://www.nbcnews.com/news/us-news/man-dies-after-pleading-i-can-t-breathe-during-arrest-n1214586
The Wall Street Journal,George Floyd Death,5/27/2020,https://www.wsj.com/articles/george-floyd-arrest-death-in-minneapolis-police-custody-spark-more-protests-11590599760
New York Post,George Floyd Death,5/28/2020,https://nypost.com/2020/05/28/everything-we-know-about-the-death-of-george-floyd/
Fox News,George Floyd Death,5/27/2020,https://www.foxnews.com/us/police-protesters-clash-thousands-demonstrate-minnesota-streets-over-death-george-floyd
CNN,January 6th,1/7/2021,https://www.cnn.com/2021/01/07/us/five-things-january-7-trnd/index.html
NBC,January 6th,1/7/2021,https://www.nbcnews.com/politics/congress/blog/2021-01-06-congress-electoral-vote-count-n1253179
The Wall Street Journal,January 6th,1/7/2021,https://www.wsj.com/articles/riot-at-the-u-s-capitol-11610068066
New York Post,January 6th,1/7/2021,https://nypost.com/2021/01/07/dc-protests-how-a-mob-of-rioters-took-the-capitol-by-storm/
Fox News,January 6th,1/7/2021,https://www.foxnews.com/politics/how-wednesdays-capitol-riot-come-to-fruition
